     .0000000D+00    .2700660D+21
     .1000000D-02    .3803490D+21
     .2000000D-02    .5203480D+21
     .3000000D-02    .6915700D+21
     .4000000D-02    .8931220D+21
     .5000000D-02    .1121200D+22
     .6000000D-02    .1368930D+22
     .7000000D-02    .1626580D+22
     .8000000D-02    .1882340D+22
     .9000000D-02    .2123280D+22
     .1000000D-01    .2336680D+22
     .1100000D-01    .2511300D+22
     .1200000D-01    .2638430D+22
     .1300000D-01    .2712660D+22
     .1400000D-01    .2732190D+22
     .1500000D-01    .2698750D+22
     .1600000D-01    .2617060D+22
     .1700000D-01    .2494180D+22
     .1800000D-01    .2338610D+22
     .1900000D-01    .2159480D+22
     .2000000D-01    .1965750D+22
     .2100000D-01    .1765690D+22
     .2200000D-01    .1566420D+22
     .2300000D-01    .1373690D+22
     .2400000D-01    .1191870D+22
     .2500000D-01    .1023930D+22
     .2600000D-01    .8716690D+21
     .2700000D-01    .7358340D+21
     .2800000D-01    .6163850D+21
     .2900000D-01    .5126810D+21
     .3000000D-01    .4236700D+21
     .3100000D-01    .3480470D+21
     .3200000D-01    .2843870D+21
     .3300000D-01    .2312370D+21
     .3400000D-01    .1871900D+21
     .3500000D-01    .1509300D+21
     .3600000D-01    .1212580D+21
     .3700000D-01    .9710680D+20
     .3800000D-01    .7754370D+20
     .3900000D-01    .6176490D+20
     .4000000D-01    .4908720D+20
     .4100000D-01    .3893550D+20
     .4200000D-01    .3083120D+20
     .4300000D-01    .2437840D+20
     .4400000D-01    .1925250D+20
     .4500000D-01    .1518890D+20
     .4600000D-01    .1197310D+20
     .4700000D-01    .9432090D+19
     .4800000D-01    .7426720D+19
     .4900000D-01    .5845780D+19
     .5000000D-01    .4600480D+19
     .5100000D-01    .3620230D+19
     .5200000D-01    .2849010D+19
     .5300000D-01    .2242450D+19
     .5400000D-01    .1765490D+19
     .5500000D-01    .1390480D+19
     .5600000D-01    .1095610D+19
     .5700000D-01    .8637240D+18
     .5800000D-01    .6813190D+18
     .5900000D-01    .5377900D+18
     .6000000D-01    .4248020D+18
     .6100000D-01    .3358120D+18
     .6200000D-01    .2656840D+18
     .6300000D-01    .2103830D+18
     .6400000D-01    .1667440D+18
     .6500000D-01    .1322830D+18
     .6600000D-01    .1050470D+18
     .6700000D-01    .8350330D+17
     .6800000D-01    .6644690D+17
     .6900000D-01    .5293090D+17
     .7000000D-01    .4221000D+17
     .7100000D-01    .3369790D+17
     .7200000D-01    .2693260D+17
     .7300000D-01    .2155010D+17
     .7400000D-01    .1726320D+17
     .7500000D-01    .1384520D+17
     .7600000D-01    .1111700D+17
     .7700000D-01    .8936900D+16
     .7800000D-01    .7192910D+16
     .7900000D-01    .5796170D+16
     .8000000D-01    .4676260D+16
     .8100000D-01    .3777280D+16
     .8200000D-01    .3054790D+16
     .8300000D-01    .2473480D+16
     .8400000D-01    .2005210D+16
     .8500000D-01    .1627550D+16
     .8600000D-01    .1322610D+16
     .8700000D-01    .1076090D+16
     .8800000D-01    .8765760D+15
     .8900000D-01    .7149060D+15
     .9000000D-01    .5837500D+15
     .9100000D-01    .4772220D+15
     .9200000D-01    .3905960D+15
     .9300000D-01    .3200710D+15
     .9400000D-01    .2625880D+15
     .9500000D-01    .2156800D+15
     .9600000D-01    .1773570D+15
     .9700000D-01    .1460120D+15
     .9800000D-01    .1203450D+15
     .9900000D-01    .9930250D+14
     .1000000D+00    .8203240D+14
     .1010000D+00    .6784210D+14
     .1020000D+00    .5616930D+14
     .1030000D+00    .4655650D+14
     .1040000D+00    .3863140D+14
     .1050000D+00    .3209050D+14
     .1060000D+00    .2668600D+14
     .1070000D+00    .2221560D+14
     .1080000D+00    .1851390D+14
     .1090000D+00    .1544540D+14
     .1100000D+00    .1289900D+14
     .1110000D+00    .1078370D+14
     .1120000D+00    .9024620D+13
     .1130000D+00    .7560260D+13
     .1140000D+00    .6339960D+13
     .1150000D+00    .5322010D+13
     .1160000D+00    .4471980D+13
     .1170000D+00    .3761450D+13
     .1180000D+00    .3166930D+13
     .1190000D+00    .2668990D+13
     .1200000D+00    .2251510D+13
     .1210000D+00    .1901160D+13
     .1220000D+00    .1606850D+13
     .1230000D+00    .1359390D+13
     .1240000D+00    .1151110D+13
     .1250000D+00    .9756460D+12
     .1260000D+00    .8276880D+12
     .1270000D+00    .7028060D+12
     .1280000D+00    .5973060D+12
     .1290000D+00    .5080960D+12
     .1300000D+00    .4325930D+12
     .1310000D+00    .3686330D+12
     .1320000D+00    .3144030D+12
     .1330000D+00    .2683820D+12
     .1340000D+00    .2292930D+12
     .1350000D+00    .1960640D+12
     .1360000D+00    .1677900D+12
     .1370000D+00    .1437140D+12
     .1380000D+00    .1231930D+12
     .1390000D+00    .1056890D+12
     .1400000D+00    .9074520D+11
     .1410000D+00    .7797690D+11
     .1420000D+00    .6705840D+11
     .1430000D+00    .5771420D+11
     .1440000D+00    .4971080D+11
     .1450000D+00    .4285040D+11
     .1460000D+00    .3696500D+11
     .1470000D+00    .3191220D+11
     .1480000D+00    .2757090D+11
     .1490000D+00    .2383780D+11
     .1500000D+00    .2062550D+11
     .1510000D+00    .1785910D+11
     .1520000D+00    .1547500D+11
     .1530000D+00    .1341880D+11
     .1540000D+00    .1164410D+11
     .1550000D+00    .1011130D+11
     .1560000D+00    .8786380D+10
     .1570000D+00    .7640380D+10
     .1580000D+00    .6648420D+10
     .1590000D+00    .5789190D+10
     .1600000D+00    .5044420D+10
     .1610000D+00    .4398410D+10
     .1620000D+00    .3837670D+10
     .1630000D+00    .3350630D+10
     .1640000D+00    .2927300D+10
     .1650000D+00    .2559120D+10
     .1660000D+00    .2238670D+10
     .1670000D+00    .1959600D+10
     .1680000D+00    .1716400D+10
     .1690000D+00    .1504320D+10
     .1700000D+00    .1319260D+10
     .1710000D+00    .1157670D+10
     .1720000D+00    .1016500D+10
     .1730000D+00    .8930810D+09
     .1740000D+00    .7851160D+09
     .1750000D+00    .6906120D+09
     .1760000D+00    .6078410D+09
     .1770000D+00    .5353020D+09
     .1780000D+00    .4716930D+09
     .1790000D+00    .4158800D+09
     .1800000D+00    .3668800D+09
     .1810000D+00    .3238360D+09
     .1820000D+00    .2860020D+09
     .1830000D+00    .2527280D+09
     .1840000D+00    .2234480D+09
     .1850000D+00    .1976680D+09
     .1860000D+00    .1749570D+09
     .1870000D+00    .1549380D+09
     .1880000D+00    .1372830D+09
     .1890000D+00    .1217040D+09
     .1900000D+00    .1079490D+09
     .1910000D+00    .9579870D+08
     .1920000D+00    .8505960D+08
     .1930000D+00    .7556290D+08
     .1940000D+00    .6716050D+08
     .1950000D+00    .5972240D+08
     .1960000D+00    .5313460D+08
     .1970000D+00    .4729680D+08
     .1980000D+00    .4212110D+08
     .1990000D+00    .3753000D+08
     .2000000D+00    .3345540D+08
     .2010000D+00    .2983750D+08
     .2020000D+00    .2662350D+08
     .2030000D+00    .2376690D+08
     .2040000D+00    .2122680D+08
     .2050000D+00    .1896690D+08
     .2060000D+00    .1695540D+08
     .2070000D+00    .1516420D+08
     .2080000D+00    .1356830D+08
     .2090000D+00    .1214580D+08
     .2100000D+00    .1087740D+08
     .2110000D+00    .9745700D+07
     .2120000D+00    .8735600D+07
     .2130000D+00    .7833610D+07
     .2140000D+00    .7027790D+07
     .2150000D+00    .6307580D+07
     .2160000D+00    .5663580D+07
     .2170000D+00    .5087490D+07
     .2180000D+00    .4571920D+07
     .2190000D+00    .4110310D+07
     .2200000D+00    .3696840D+07
     .2210000D+00    .3326320D+07
     .2220000D+00    .2994160D+07
     .2230000D+00    .2696260D+07
     .2240000D+00    .2428980D+07
     .2250000D+00    .2189060D+07
     .2260000D+00    .1973620D+07
     .2270000D+00    .1780090D+07
     .2280000D+00    .1606150D+07
     .2290000D+00    .1449780D+07
     .2300000D+00    .1309130D+07
     .2310000D+00    .1182580D+07
     .2320000D+00    .1068670D+07
     .2330000D+00    .9660880D+06
     .2340000D+00    .8736830D+06
     .2350000D+00    .7904100D+06
     .2360000D+00    .7153370D+06
     .2370000D+00    .6476310D+06
     .2380000D+00    .5865460D+06
     .2390000D+00    .5314140D+06
     .2400000D+00    .4816370D+06
     .2410000D+00    .4366770D+06
     .2420000D+00    .3960550D+06
     .2430000D+00    .3593370D+06
     .2440000D+00    .3261360D+06
     .2450000D+00    .2961060D+06
     .2460000D+00    .2689330D+06
     .2470000D+00    .2443370D+06
     .2480000D+00    .2220650D+06
     .2490000D+00    .2018920D+06
     .2500000D+00    .1836120D+06
     .2510000D+00    .1670430D+06
     .2520000D+00    .1520200D+06
     .2530000D+00    .1383920D+06
     .2540000D+00    .1260280D+06
     .2550000D+00    .1148050D+06
     .2560000D+00    .1046150D+06
     .2570000D+00    .9535950D+05
     .2580000D+00    .8695070D+05
     .2590000D+00    .7930830D+05
     .2600000D+00    .7236020D+05
     .2610000D+00    .6604130D+05
     .2620000D+00    .6029280D+05
     .2630000D+00    .5506150D+05
     .2640000D+00    .5029940D+05
     .2650000D+00    .4596310D+05
     .2660000D+00    .4201320D+05
     .2670000D+00    .3841420D+05
     .2680000D+00    .3513390D+05
     .2690000D+00    .3214320D+05
     .2700000D+00    .2941570D+05
     .2710000D+00    .2692750D+05
     .2720000D+00    .2465680D+05
     .2730000D+00    .2258410D+05
     .2740000D+00    .2069160D+05
     .2750000D+00    .1896300D+05
     .2760000D+00    .1738370D+05
     .2770000D+00    .1594040D+05
     .2780000D+00    .1462100D+05
     .2790000D+00    .1341450D+05
     .2800000D+00    .1231100D+05
     .2810000D+00    .1130130D+05
     .2820000D+00    .1037720D+05
     .2830000D+00    .9531290D+04
     .2840000D+00    .8756660D+04
     .2850000D+00    .8047130D+04
     .2860000D+00    .7397050D+04
     .2870000D+00    .6801280D+04
     .2880000D+00    .6255120D+04
     .2890000D+00    .5754320D+04
     .2900000D+00    .5294980D+04
     .2910000D+00    .4873560D+04
     .2920000D+00    .4486820D+04
     .2930000D+00    .4131820D+04
     .2940000D+00    .3805870D+04
